Field,ID,Type (Type),default,en-us,ru
Description,2,Text,,"Sort thousands of photos and videos in minutes. Fast Media Sorter is a fast, keyboard-driven viewer
and sorter for images and video on Windows.

Open a folder and fly through it: full-screen slideshow, quick panel navigation, and one-key Move /
Copy / Rename / Delete. Assign folders to hotkeys and file each item with a single press -
a digit moves it, Shift and the same digit copies it - or turn on the recipients panel to click those destination folders right over the image and sort one-handed with
the mouse. It plays a broad range of video through its built-in VLC engine - H.264/MP4, AVI, MKV, VP9,
ZMBV and more - and fills letterbox/pillarbox bars with a matching ""ambilight"" background.

Rebuilt as a modern 64-bit app that carries its own runtime: there is nothing extra to install and no
.NET Framework prerequisite. Static and animated WEBP images open everywhere, because the app decodes
them itself instead of needing the Windows ""WebP Image Extensions"" codec that some editions of Windows
lack, and so do HEIC/HEIF and AVIF - the formats iPhones and modern cameras produce - with no paid codec
required. Video always runs through the built-in VLC engine, so it plays the same on systems where the
retired Internet Explorer component is no longer present, now with a full control bar (seek, volume,
audio track and subtitle picking) and ""Open URL.."" to play straight off a network address. Zoom at the
mouse cursor with drag-to-pan, and right-click/middle-click menus put every action right on the picture
or video.

Share folders with your phone: the bundled companion ""Fast Media Sorter: Share Manager"" turns this PC
into a private SFTP server for folders you pick, so the Fast Media Sorter Android app can browse them -
on your home Wi-Fi or over the internet - after a one-time QR pairing. Sharing is strictly opt-in and
stays between your own devices; nothing is uploaded to any third party. Sharing runs while you are
signed in. A separate always-on Server edition, which hosts the same sharing as a Windows service, is
not part of the Store version - it is available from the project website and winget.

Optional on-image OCR translation recognizes text in a picture (fully offline, Tesseract) and overlays
a translation using a provider you configure yourself - a local Ollama model or a LibreTranslate
endpoint. OCR works without any network connection.

No account, no ads, no telemetry. Open source: https://github.com/SerZhyAle/FastMediaSorter_Lite

On the Microsoft Store this app is published as ""FastMediaSorter LITE"".

The interface is available in 13 languages - English, Russian, Ukrainian, German, Italian, Spanish, French, Portuguese, Arabic, Hindi, Bengali, Urdu and Chinese - and follows your Windows display language on first run; a toolbar button switches it any time. Arabic and Urdu are laid out right to left. English, Russian and Ukrainian are proofread by the author; the other ten are machine translations and are not proofread, and corrections are welcome through the issue tracker.","Разберите тысячи фото и видео за минуты. Fast Media Sorter - быстрый просмотрщик и сортировщик
изображений и видео для Windows, управляемый с клавиатуры.

Откройте папку и листайте её мгновенно: полноэкранное слайд-шоу, быстрая навигация по панели и
перемещение / копирование / переименование / удаление одной клавишей. Назначьте папки на горячие
клавиши и раскладывайте файлы одним нажатием - цифра переносит, Shift с той же цифрой копирует -
или включите панель получателей и кликайте по этим
папкам прямо поверх изображения, сортируя одной рукой мышью. Видео воспроизводится встроенным
движком VLC - H.264/MP4, AVI, MKV, VP9, ZMBV и другие - а поля по краям кадра заполняются фоном в
стиле ""ambilight"" под цвет изображения.

Программа пересобрана как современное 64-битное приложение со своей средой выполнения: ничего
доустанавливать не нужно, .NET Framework больше не требуется. Статические и анимированные
WEBP-изображения открываются везде - приложение декодирует их само, без кодека Windows ""WebP Image
Extensions"", которого нет в некоторых редакциях Windows, а также HEIC/HEIF и AVIF - форматы,
которые снимают iPhone и современные камеры - без каких-либо платных кодеков. Видео всегда идёт
через встроенный движок VLC, поэтому оно одинаково воспроизводится и на системах, где компонента
Internet Explorer больше нет, и теперь с полноценной панелью управления (перемотка, громкость,
выбор аудиодорожки и субтитров) и командой ""Открыть по адресу.."" для воспроизведения прямо по
сетевому пути. Масштабирование под курсором мыши с перетаскиванием, а меню по правому/среднему
клику выносят все действия прямо на изображение или видео.

Раздавайте папки на телефон: программа-компаньон ""Fast Media Sorter: Share Manager"" превращает этот
ПК в частный SFTP-сервер для выбранных вами папок, чтобы Android-приложение Fast Media Sorter
открывало их - в домашней сети Wi-Fi или через интернет - после однократного подключения по QR-коду.
Раздача включается только по вашему желанию и остаётся между вашими устройствами; никуда на сторону
ничего не выгружается. Раздача работает, пока вы вошли в систему. Отдельная серверная редакция,
которая поднимает ту же раздачу как службу Windows, в версию из Store не входит - она доступна на
сайте проекта и через winget.

Необязательный перевод текста прямо на картинке: распознавание полностью офлайн (Tesseract) и
наложение перевода через выбранного вами провайдера - локальную модель Ollama или сервер
LibreTranslate. Распознавание работает без интернета.

Без аккаунта, без рекламы, без телеметрии. Открытый исходный код:
https://github.com/SerZhyAle/FastMediaSorter_Lite

В Microsoft Store приложение публикуется как ""FastMediaSorter LITE"".

Интерфейс доступен на 13 языках - английском, русском, украинском, немецком, итальянском, испанском, французском, португальском, арабском, хинди, бенгальском, урду и китайском - и при первом запуске берёт язык интерфейса Windows; кнопка на панели переключает его в любой момент. Арабский и урду идут справа налево. Автором вычитаны английский, русский и украинский; остальные десять сделаны машиной и не вычитаны, поправки приветствуются через issue-трекер."
ReleaseNotes,3,Text,,"- One speech balloon is one plate again. Translated text used to break a single balloon into two or three plates: lines set in capitals have no descenders, so the space beneath them looked like a paragraph break and the translator was handed fragments instead of a sentence. A heading is no longer swallowed by the paragraph under it.
- A long translation no longer loses its tail in silence. The text shrinks first, then the plate grows downwards - never past the picture edge, never into the plate below - and only then is anything trimmed. On a short block the text no longer spills outside its own plate.
- A screenshot or a form no longer arrives as one plate covering most of the picture: it is split into one plate per line, and no recognized text is lost.
- The translation plate takes its background and text colours from the picture underneath it, instead of being the same nearly-white rectangle on every image.
- Zooming and resizing a picture full of translated text got noticeably lighter.
- Share Manager: a click on the enlarged QR code also saves it as a picture and puts it on the clipboard.
- The halo around a photo can now appear at three speeds, and by default it is twice as fast as before.","- Одна реплика - одна плашка. Перевод разбивал единственный пузырь на две-три плашки: строки из прописных не имеют выносных элементов, просвет под ними выглядел как разрыв абзаца, и переводчик получал обрывки вместо фразы. Заголовок больше не слипается с абзацем под ним.
- Длинный перевод больше не теряет хвост молча. Сначала уменьшается кегль, затем плашка растёт вниз - не за край картинки и не на плашку под ней, - и только потом что-то обрезается. На низком блоке текст не вылезает за свою плашку.
- Скриншот или бланк больше не приходит одной плашкой на пол-картинки: она распускается по строкам, и ни одно распознанное слово не теряется.
- Плашка перевода берёт цвет фона и текста из картинки под собой, а не остаётся одинаковым почти белым прямоугольником на любом изображении.
- Масштабирование и изменение размера окна на картинке с множеством переводов стали заметно легче.
- Share Manager: клик по увеличенному QR-коду теперь ещё и сохраняет его картинкой и кладёт в буфер обмена.
- Ореол вокруг фотографии появляется с одной из трёх скоростей, по умолчанию вдвое быстрее прежнего."
Title,4,Text,,FastMediaSorter LITE,FastMediaSorter LITE
ShortTitle,5,Text,,,
SortTitle,6,Text,,,
VoiceTitle,7,Text,,,
ShortDescription,8,Text,,"Fast, keyboard-driven photo and video sorter for Windows - 64-bit, no .NET Framework, interface in 13 languages.","Быстрый сортировщик фото и видео для Windows с управлением с клавиатуры - 64-битная сборка, интерфейс на 13 языках."
DevStudio,9,Text,,,
CopyrightTrademarkInformation,12,Text,,,
AdditionalLicenseTerms,13,Text,,,
